docid,htid,tokens,tags,author,authordate,imprint,inferreddate,firstpub,enumcron,subjects,genres,title,tagset
uc1.b4456972_0,uc1.b4456972,107690,random,"Dickens, Charles",,"Chicago;New York;Belford, Clarke;between 1883 and 1892",1883,1841,v.2,,,Dickens' works,{'random'}
uc1.b4456972_3,uc1.b4456972,104603,random,"Dickens, Charles",,"Chicago;New York;Belford, Clarke;between 1883 and 1892",1883,1841,v.2,,,Dickens' works,{'random'}
nyp.33433004008573_1,nyp.33433004008573,46415,random,"Dorsey, Ella Loraine",,New York;Cincinnati [etc.;Benziger Brothers;1897.,1897,1897,,,,The taming of Polly,{'random'}
nyp.33433004008573_0,nyp.33433004008573,44688,random,"Dorsey, Ella Loraine",,New York;Cincinnati [etc.;Benziger Brothers;1897.,1897,1897,,,,The taming of Polly,{'random'}
njp.32101068150968_1,njp.32101068150968,69275,randomB,"Doyle, Arthur Conan",,New York;D. Appleton;c1902,1902,1902,vol.12,,,Works,{'randomB'}
njp.32101068150968_0,njp.32101068150968,67774,randomB,"Doyle, Arthur Conan",,New York;D. Appleton;c1902,1902,1902,vol.12,,,Works,{'randomB'}
uiuo.ark+=13960=t71v5vw11,uiuo.ark+=13960=t71v5vw11,56146,randomB,"Drury, Anna H",,London;Chapman and Hall;1863.,1863,1863,v.3,,,Deep waters,{'randomB'}
njp.32101072902180_1,njp.32101072902180,73213,randomB,"Dumas, Alexandre",,"Boston;Little, Brown and Co.;1904.",1904,1904,v.31,,,The romances of Dumas,{'randomB'}
njp.32101072902180_2,njp.32101072902180,71195,randomB,"Dumas, Alexandre",,"Boston;Little, Brown and Co.;1904.",1904,1904,v.31,,,The romances of Dumas,{'randomB'}
njp.32101072902180_0,njp.32101072902180,71012,randomB,"Dumas, Alexandre",,"Boston;Little, Brown and Co.;1904.",1904,1904,v.31,,,The romances of Dumas,{'randomB'}
uc1.b3324288,uc1.b3324288,53306,random,"Duros, Edward",,London;R. Bentley;1832.,1832,1832,v. 3,"Otterburn, Battle of, Otterburn, England, 1388;Fiction",,Otterbourne;,{'random'}
mdp.39015058659890_1,mdp.39015058659890,47083,random,"Dutt, Romesh Chunder",,London;T. Fisher Unwin;1909.,1909,1909,,,,The slave girl of Agra;,{'random'}
mdp.39015058659890_0,mdp.39015058659890,47168,random,"Dutt, Romesh Chunder",,London;T. Fisher Unwin;1909.,1909,1909,,,,The slave girl of Agra;,{'random'}
uiuo.ark+=13960=t2697hc03_1,uiuo.ark+=13960=t2697hc03,30723,random,Edmonds,,London;Remington;1888.,1888,1888,v.1,,,"Mary Myles, a study",{'random'}
uiuo.ark+=13960=t2697hc03_0,uiuo.ark+=13960=t2697hc03,30887,random,Edmonds,,London;Remington;1888.,1888,1888,v.1,,,"Mary Myles, a study",{'random'}
uc1.32106006504143_1,uc1.32106006504143,59533,random,"Eliot, George",,Edinburgh;W. Blackwood;1884?,1884,1879,v.2,,,Works,{'random'}
uc1.32106006504143_0,uc1.32106006504143,57960,random,"Eliot, George",,Edinburgh;W. Blackwood;1884?,1884,1879,v.2,,,Works,{'random'}
uc2.ark+=13960=t7tm74053_0,uc2.ark+=13960=t7tm74053,44865,randomB,"Evans, Augusta J",,New York;Co-Operative Publication Society;c1887.,1887,1887,,,,"Inez, a tale of the Alamo",{'randomB'}
uc2.ark+=13960=t7tm74053_1,uc2.ark+=13960=t7tm74053,44577,randomB,"Evans, Augusta J",,New York;Co-Operative Publication Society;c1887.,1887,1887,,,,"Inez, a tale of the Alamo",{'randomB'}
uc2.ark+=13960=t95719x0f_0,uc2.ark+=13960=t95719x0f,63240,randomB,"Ewing, Juliana Horatia",,London;G. Bell & Sons;1910.,1910,1910,,,,We and the world,{'randomB'}
uc2.ark+=13960=t95719x0f_1,uc2.ark+=13960=t95719x0f,62702,randomB,"Ewing, Juliana Horatia",,London;G. Bell & Sons;1910.,1910,1910,,,,We and the world,{'randomB'}
njp.32101067523173_0,njp.32101067523173,37388,random,"Fabre, Ferdinand",,New York;J. B. Ford & company;1875.,1875,1875,,,,The abbé Tigrane,{'random'}
njp.32101067523173_1,njp.32101067523173,36358,random,"Fabre, Ferdinand",,New York;J. B. Ford & company;1875.,1875,1875,,,,The abbé Tigrane,{'random'}
nyp.33433074951868_2,nyp.33433074951868,48618,randomB,"Fane, Violet",,New York;D. Appleton;1889.,1889,1889,,English fiction,,The story of Helen Davenant,{'randomB'}
nyp.33433074951868_1,nyp.33433074951868,47864,randomB,"Fane, Violet",,New York;D. Appleton;1889.,1889,1889,,English fiction,,The story of Helen Davenant,{'randomB'}
nyp.33433074951868_0,nyp.33433074951868,48069,randomB,"Fane, Violet",,New York;D. Appleton;1889.,1889,1889,,English fiction,,The story of Helen Davenant,{'randomB'}
uc2.ark+=13960=t77s7pf8f,uc2.ark+=13960=t77s7pf8f,48605,random,"Farjeon, B. L",,London;F.V. White;1893.,1893,1893,v.1,,,The march of fate,{'random'}
uc1.b3416826_0,uc1.b3416826,55466,randomB,"Fauset, Jessie Redmon",,New York|Frederick A. Stokes company|1929.,1929,1929,,,Fiction,"Plum bun, | a novel without a moral, | $c: by Jessie Redmon Fauset.",{'randomB'}
uc1.b3416826_1,uc1.b3416826,57001,randomB,"Fauset, Jessie Redmon",,New York|Frederick A. Stokes company|1929.,1929,1929,,,Fiction,"Plum bun, | a novel without a moral, | $c: by Jessie Redmon Fauset.",{'randomB'}
nyp.33433082530332_0,nyp.33433082530332,66741,random,"Fenn, George Manville",,London;W. & R. Chambers;Philadelphia;J.B. Lippincott;1907.,1907,1907,,,,Trapped by Malays,{'random'}
nyp.33433082530332_1,nyp.33433082530332,63752,random,"Fenn, George Manville",,London;W. & R. Chambers;Philadelphia;J.B. Lippincott;1907.,1907,1907,,,,Trapped by Malays,{'random'}
nyp.33433074807763_0,nyp.33433074807763,66026,random,"Fenn, Robert",,"New York;Dodd, Mead and Company;1911.",1911,1911,,,,The hidden empire,{'random'}
nyp.33433074807763_1,nyp.33433074807763,66924,random,"Fenn, Robert",,"New York;Dodd, Mead and Company;1911.",1911,1911,,,,The hidden empire,{'random'}
mdp.39015002725631,mdp.39015002725631,53215,randomB,"Ferber, Edna",,New York;Grosset & Dunlap;c1915,1915,1915,,,,Emma McChesney & co,{'randomB'}
mdp.39015063918158_0,mdp.39015063918158,41913,randomB,"Fletcher, J. S. (Joseph Smith)",1863-1935.,New York|A. A. Knopf|1925.,1925,1925,,,Fiction,"False scent, | $c: by J. S. Fletcher.",{'randomB'}
mdp.39015063918158_1,mdp.39015063918158,42219,randomB,"Fletcher, J. S. (Joseph Smith)",1863-1935.,New York|A. A. Knopf|1925.,1925,1925,,,Fiction,"False scent, | $c: by J. S. Fletcher.",{'randomB'}
loc.ark+=13960=t21c29j9f,loc.ark+=13960=t21c29j9f,35806,random,"Fletcher, Mabel Elizabeth Billings",,New York;The Macmillan Company;1917.,1917,1917,,Frontier and pioneer life;Illinois,,Old settler stories,{'random'}
hvd.hwrdc5,hvd.hwrdc5,42323,random,"Follen, Eliza Lee Cabot",,Boston;J. Munroe & Co.;1838.,1838,1838,,,,The well-spent hour,{'random'}
mdp.39015063917325,mdp.39015063917325,20591,randomB,"Ford, Paul Leicester",,"New York;Dodd, Mead & Company;1900.",1900,1900,,,,Wanted--a match maker,{'randomB'}
uiuo.ark+=13960=t57d3822s,uiuo.ark+=13960=t57d3822s,58499,randomB,"Fothergill, Jessie",,London;R. Bentley and Son;1888.,1888,1888,v.3,,,From Moor isles,{'randomB'}
uc1.$b614959,uc1.$b614959,40394,random,"Frank, Leonhard",1882-1961.,London|P. Davies|1928.,1928,1928,,,Fiction,The cause of the crime / | $c: by Leonhard Frank.,{'random'}
mdp.39076002604416_1,mdp.39076002604416,39462,juv|random,"Fraser, Chelsea Curtis",,New York;Thomas Y. Crowell;c1918.,1918,1918,,Boys;Hiking;Friendship in youth;Juvenile fiction,,"The Boy hikers, or, Doing their bit for Uncle Sam","{'random', 'juv'}"
mdp.39076002604416_0,mdp.39076002604416,38707,juv|random,"Fraser, Chelsea Curtis",,New York;Thomas Y. Crowell;c1918.,1918,1918,,Boys;Hiking;Friendship in youth;Juvenile fiction,,"The Boy hikers, or, Doing their bit for Uncle Sam","{'random', 'juv'}"
nyp.33433076091259_1,nyp.33433076091259,49698,random,"Fraser, Hugh",,Philadelphia;Lippincott;1901.,1901,1901,,,,A little grey sheep,{'random'}
nyp.33433076091259_2,nyp.33433076091259,50330,random,"Fraser, Hugh",,Philadelphia;Lippincott;1901.,1901,1901,,,,A little grey sheep,{'random'}
nyp.33433076091259_0,nyp.33433076091259,50144,random,"Fraser, Hugh",,Philadelphia;Lippincott;1901.,1901,1901,,,,A little grey sheep,{'random'}
mdp.39015062210110,mdp.39015062210110,36184,randomB,"Fraser, Joshua",,Montreal;Printed by J. Lovell & son;1881.,1881,1881,,"Black River, Quebec",,Three months among the moose,{'randomB'}
njp.32101068169224_0,njp.32101068169224,44684,random,"Fuller, Henry Blake",,Chicago;R. F. Seymour;1919.,1919,1919,,,,Bertram Cope's year,{'random'}
njp.32101068169224_1,njp.32101068169224,44522,random,"Fuller, Henry Blake",,Chicago;R. F. Seymour;1919.,1919,1919,,,,Bertram Cope's year,{'random'}
mdp.39076002630676,mdp.39076002630676,57314,juv|random,"Garis, Lilian",1873-1954.,New York|Grosset & Dunlap|c1924.,1924,1924,,Juvenile fiction|Love stories|Young women|Orphans,Fiction,"Joan : | just girl / | $c: by Lilian Garis, illustrated by Thelma Gooch.","{'random', 'juv'}"
uc1.b3940366_0,uc1.b3940366,47759,randomB,"Garshin, V. M",,London;Duckworth & Co.;1912.,1912,1912,,,,The signal,{'randomB'}
uc1.b3940366_1,uc1.b3940366,48400,randomB,"Garshin, V. M",,London;Duckworth & Co.;1912.,1912,1912,,,,The signal,{'randomB'}
uc1.b3940366_2,uc1.b3940366,46707,randomB,"Garshin, V. M",,London;Duckworth & Co.;1912.,1912,1912,,,,The signal,{'randomB'}
uc2.ark+=13960=t39z9257x_1,uc2.ark+=13960=t39z9257x,49953,randomB,"Gibbs, George",,Philadelphia;H. T. Coates & Co.;1901.,1901,1901,,,,In search of Mademoiselle,{'randomB'}
uc2.ark+=13960=t39z9257x_0,uc2.ark+=13960=t39z9257x,49258,randomB,"Gibbs, George",,Philadelphia;H. T. Coates & Co.;1901.,1901,1901,,,,In search of Mademoiselle,{'randomB'}
mdp.39015066052757_0,mdp.39015066052757,45388,random,"Gilchrist, Anne Burrows",,Boston;Roberts Brothers;1883.,1883,1883,,"1764-1847;Lamb, Mary",,Mary Lamb,{'random'}
mdp.39015066052757_1,mdp.39015066052757,47355,random,"Gilchrist, Anne Burrows",,Boston;Roberts Brothers;1883.,1883,1883,,"1764-1847;Lamb, Mary",,Mary Lamb,{'random'}
mdp.39015000604424_1,mdp.39015000604424,69821,random,"Gissing, George",,London;Archibald Constable and Company;1904.,1904,1904,,,,Veranilda,{'random'}
mdp.39015000604424_0,mdp.39015000604424,68008,random,"Gissing, George",,London;Archibald Constable and Company;1904.,1904,1904,,,,Veranilda,{'random'}
uc1.b3322521_1,uc1.b3322521,31866,random,"Gladstone, Alfred",,London;T. Cautley Newby;1863.,1863,1863,v. 1,,,The man of the hour,{'random'}
uc1.b3322521_0,uc1.b3322521,32567,random,"Gladstone, Alfred",,London;T. Cautley Newby;1863.,1863,1863,v. 1,,,The man of the hour,{'random'}
mdp.39015047656130_0,mdp.39015047656130,47282,randomB,"Gorky, Maksim",,New York;P.F. Collier;191-?,1910,1910,,,,Malva and other tales,{'randomB'}
mdp.39015047656130_1,mdp.39015047656130,50053,randomB,"Gorky, Maksim",,New York;P.F. Collier;191-?,1910,1910,,,,Malva and other tales,{'randomB'}
nyp.33433076089493_0,nyp.33433076089493,41788,random,"Graeve, Oscar",,"New York;Dodd, Mead and Company;1921.",1921,1921,,,,The brown moth,{'random'}
nyp.33433076089493_1,nyp.33433076089493,42165,random,"Graeve, Oscar",,"New York;Dodd, Mead and Company;1921.",1921,1921,,,,The brown moth,{'random'}
uva.x030736355,uva.x030736355,43126,random,"Grahame, Nellie",,Philadelphia;Presbyterian Board of Publication;c1869.,1869,1869,,,,Mr. Wallingford's mistake,{'random'}
uc2.ark+=13960=t9q23t734,uc2.ark+=13960=t9q23t734,58466,random,"Grant, James",,London;Bentley;1881.,1881,1881,v.003,,,The Cameronians,{'random'}
njp.32101069166427_0,njp.32101069166427,58559,random,"Greene, Sarah Pratt McLean",,New York;The Baker & Taylor Company;1911.,1911,1911,,,,The long green road,{'random'}
njp.32101069166427_1,njp.32101069166427,59300,random,"Greene, Sarah Pratt McLean",,New York;The Baker & Taylor Company;1911.,1911,1911,,,,The long green road,{'random'}
mdp.39015063552254,mdp.39015063552254,33527,random,"Gregg, Mary (Kirby)",,"London;Griffith and Farran, successors to Newbery and Harris;New York;E. P. Dutton and co.;1880",1880,1880,,,,The discontented children and how they were cured,{'random'}
nyp.33433076068612_0,nyp.33433076068612,59047,randomB,"Grey, Zane",,New York and London;Harper & brothers;c1921,1921,1921,,,,To the last man;,{'randomB'}
nyp.33433076068612_1,nyp.33433076068612,58420,randomB,"Grey, Zane",,New York and London;Harper & brothers;c1921,1921,1921,,,,To the last man;,{'randomB'}
uc1.b3322575,uc1.b3322575,56432,randomB,"Griffin, Gerald",,London;Saunders & Otley;1830.,1830,1830,v.3,,,The rivals,{'randomB'}
uc2.ark+=13960=t9t14vh71_0,uc2.ark+=13960=t9t14vh71,54808,random,"Gunter, Archibald Clavering",,"New York;The Home Publishing company;1903, c1902",1902,1902,,,,The spy company ;,{'random'}
uc2.ark+=13960=t9t14vh71_1,uc2.ark+=13960=t9t14vh71,53901,random,"Gunter, Archibald Clavering",,"New York;The Home Publishing company;1903, c1902",1902,1902,,,,The spy company ;,{'random'}
uc2.ark+=13960=t9862dz8z,uc2.ark+=13960=t9862dz8z,52667,randomB,Gyp,,New York [etc.;Brentano's;c1895,1895,1895,,,,A Gallic girl. (Le mariage de Chiffon),{'randomB'}
uiuo.ark+=13960=t4wh2zx6g,uiuo.ark+=13960=t4wh2zx6g,55015,random,"Hake, Thomas St. E",,London;Hurst and Blackett;1886.,1886,1886,v.2,,,In letters of gold,{'random'}
uc2.ark+=13960=t1kh0f79c_1,uc2.ark+=13960=t1kh0f79c,37437,random,"Hall, Eliza Calvert",,"Boston;Little, Brown & Company;1909.",1909,1909,,,,The land of long ago,{'random'}
uc2.ark+=13960=t6rx94103,uc2.ark+=13960=t6rx94103,9013,randomB,"Hall, Eliza Calvert",,"Boston;Little, Brown;1910.",1910,1910,,,,Sally Ann's experience,{'randomB'}
uc2.ark+=13960=t1kh0f79c_0,uc2.ark+=13960=t1kh0f79c,36818,random,"Hall, Eliza Calvert",,"Boston;Little, Brown & Company;1909.",1909,1909,,,,The land of long ago,{'random'}
nyp.33433076059207_0,nyp.33433076059207,44092,randomB,"Hall, Holworthy",,New York;Century;1915.,1915,1915,,,,Pepper,{'randomB'}
nyp.33433076059207_1,nyp.33433076059207,46534,randomB,"Hall, Holworthy",,New York;Century;1915.,1915,1915,,,,Pepper,{'randomB'}
wu.89004698288_0,wu.89004698288,45883,random,"Hamilton, Mary Agnes",,"Boston;New York;Houghton, Mifflin Company;1912.",1912,1912,,,,Less than the dust,{'random'}
wu.89004698288_1,wu.89004698288,45251,random,"Hamilton, Mary Agnes",,"Boston;New York;Houghton, Mifflin Company;1912.",1912,1912,,,,Less than the dust,{'random'}
uc1.b249690_0,uc1.b249690,34984,randomB,"Hammond, Henrietta Hardy",,New York;G. W. Harlan & co.;1882.,1882,1882,,,,A fair philosopher,{'randomB'}
uc1.b249690_1,uc1.b249690,35585,randomB,"Hammond, Henrietta Hardy",,New York;G. W. Harlan & co.;1882.,1882,1882,,,,A fair philosopher,{'randomB'}
uc1.b4678991_0,uc1.b4678991,181828,random,"Hardy, Thomas",,London;Isbister;1880.,1880,1880,,,,The trumpet major,{'random'}
uc1.b4678991_1,uc1.b4678991,181092,random,"Hardy, Thomas",,London;Isbister;1880.,1880,1880,,,,The trumpet major,{'random'}
uc1.b4678991_2,uc1.b4678991,186356,random,"Hardy, Thomas",,London;Isbister;1880.,1880,1880,,,,The trumpet major,{'random'}
uc1.b4678991_3,uc1.b4678991,185159,random,"Hardy, Thomas",,London;Isbister;1880.,1880,1880,,,,The trumpet major,{'random'}
nnc1.cu11651695_0,nnc1.cu11651695,37543,random,"Harte, Bret",,New York;Sully and Kleinteich;c1889-1903,1889,1889,v.12,,,Stories and tales,{'random'}
njp.32101068599081_0,njp.32101068599081,25086,randomB,"Harte, Bret",,London;Chatto & Windus;1890.,1890,1890,,,,A waif of the plains,{'randomB'}
njp.32101068599081_1,njp.32101068599081,44544,randomB,"Harte, Bret",,London;Chatto & Windus;1890.,1890,1890,,,,A waif of the plains,{'randomB'}
nyp.33433074850656_1,nyp.33433074850656,47516,random,"Harte, Bret",,New York;Collier;c1892,1892,1892,,,,Colonel Starbottle's client. Flip. Found at Blazing Star,{'random'}
nyp.33433074850656_0,nyp.33433074850656,51250,random,"Harte, Bret",,New York;Collier;c1892,1892,1892,,,,Colonel Starbottle's client. Flip. Found at Blazing Star,{'random'}
nnc1.cu11651695_1,nnc1.cu11651695,37016,random,"Harte, Bret",,New York;Sully and Kleinteich;c1889-1903,1889,1889,v.12,,,Stories and tales,{'random'}
mdp.39015021562676,mdp.39015021562676,31831,randomB,"Hawthorne, Nathaniel",,Boston;New York [etc.;Houghton Mifflin co.;c1889,1889,1889,,,,The great stone face,{'randomB'}
yale.39002001241638,yale.39002001241638,57293,randomB,"Haynes, Elizabeth Ross",,New York;DuBois and Dill;1921.,1921,1921,,"IsBiographical;Biography;Bookplate;African Americans;1878-1971;Spingarn, Arthur B;(Arthur Barnett)",,Unsung heroes,{'randomB'}
uc2.ark+=13960=t7tm75f4v_0,uc2.ark+=13960=t7tm75f4v,37565,randomB,"Heidenstam, Verner von",,"New York;The American-Scandinavian foundation; [etc., etc.;1920.",1920,1920,v.1,"History;Sweden;XII;Charles;Charles XII, 1697-1718;King of Sweden;1682-1718;Fiction",,The Charles men,{'randomB'}
uc2.ark+=13960=t7tm75f4v_1,uc2.ark+=13960=t7tm75f4v,39189,randomB,"Heidenstam, Verner von",,"New York;The American-Scandinavian foundation; [etc., etc.;1920.",1920,1920,v.1,"History;Sweden;XII;Charles;Charles XII, 1697-1718;King of Sweden;1682-1718;Fiction",,The Charles men,{'randomB'}
uc1.b50173_1,uc1.b50173,46813,randomB,"Helps, Arthur",,Boston;Roberts brothers;1874,1874,1874,,"Brassey, Thomas;History;Railroads;1805-1870",,Life and labours of Mr. Brassey,{'randomB'}
uc1.b50173_0,uc1.b50173,41577,randomB,"Helps, Arthur",,Boston;Roberts brothers;1874,1874,1874,,"Brassey, Thomas;History;Railroads;1805-1870",,Life and labours of Mr. Brassey,{'randomB'}
uc2.ark+=13960=t9m32pb4b,uc2.ark+=13960=t9m32pb4b,47113,random,"Henney, Nella Braddy",,"Garden, City, N. Y.;Doubleday, Page;1922.",1922,1922,v.1,Short stories,,Masterpieces of adventure,{'random'}
uva.x030832515_1,uva.x030832515,31595,random,"Henry, O",,"Garden City, N.Y.;Doubleday, Page;1916",1914,1914,v.2,,,The four million,{'random'}
uva.x030832515_0,uva.x030832515,31363,random,"Henry, O",,"Garden City, N.Y.;Doubleday, Page;1916",1914,1914,v.2,,,The four million,{'random'}
mdp.39015078575688,mdp.39015078575688,31329,randomB|juv,"Herr, Charlotte B",,"New York;Dodd, Mead and company;1920.",1920,1920,,"Voyages, Imaginary",,A brownie Robinson Crusoe,"{'juv', 'randomB'}"
wu.89092544006,wu.89092544006,41482,random,"Higginson, Thomas Wentworth",,New York;Harper and brothers;1892.,1892,1892,,,,Concerning all of us,{'random'}
inu.32000005497468_1,inu.32000005497468,53672,random,"Hilton, James",1900-1954.,London|T. Butterworth|1927.,1927,1927,,,Fiction,"Terry, | $c: by James Hilton.",{'random'}
inu.32000005497468_0,inu.32000005497468,53987,random,"Hilton, James",1900-1954.,London|T. Butterworth|1927.,1927,1927,,,Fiction,"Terry, | $c: by James Hilton.",{'random'}
njp.32101063581332_1,njp.32101063581332,38568,randomB,"Hilzinger, John George",,London;New York;F. T. Neely;1899.,1899,1899,,,,The skystone,{'randomB'}
njp.32101063581332_0,njp.32101063581332,33978,randomB,"Hilzinger, John George",,London;New York;F. T. Neely;1899.,1899,1899,,,,The skystone,{'randomB'}
nyp.33433074870902_1,nyp.33433074870902,43085,random,"Hocking, Silas K",,London [etc.;F. Warne and Co.;1890.,1890,1890,,English fiction,,Her Benny,{'random'}
nyp.33433074870902_0,nyp.33433074870902,37059,random,"Hocking, Silas K",,London [etc.;F. Warne and Co.;1890.,1890,1890,,English fiction,,Her Benny,{'random'}
uc1.$b809234_1,uc1.$b809234,54486,random,"Holley, Marietta",,New York;Funk & Wagnalls Co.;1893.,1893,1893,,,,Samantha at the World's Fair,{'random'}
uc1.$b809234_0,uc1.$b809234,53002,random,"Holley, Marietta",,New York;Funk & Wagnalls Co.;1893.,1893,1893,,,,Samantha at the World's Fair,{'random'}
uc1.$b809234_2,uc1.$b809234,55234,random,"Holley, Marietta",,New York;Funk & Wagnalls Co.;1893.,1893,1893,,,,Samantha at the World's Fair,{'random'}
nyp.33433076023674_1,nyp.33433076023674,58619,randomB,"Holmes, Mary Jane",,New York;Carleton;1865.,1865,1865,,,,The English orphans,{'randomB'}
nyp.33433076023674_0,nyp.33433076023674,59297,randomB,"Holmes, Mary Jane",,New York;Carleton;1865.,1865,1865,,,,The English orphans,{'randomB'}
uc2.ark+=13960=t7cr5tc0g_0,uc2.ark+=13960=t7cr5tc0g,53218,randomB,"Holt, Emily Sarah",,London;John F. Shaw;1893,1893,1893,,,,One snowy night,{'randomB'}
uc2.ark+=13960=t7cr5tc0g_1,uc2.ark+=13960=t7cr5tc0g,56694,randomB,"Holt, Emily Sarah",,London;John F. Shaw;1893,1893,1893,,,,One snowy night,{'randomB'}
mdp.39015056741005,mdp.39015056741005,32677,randomB,"Horne, R. H",,London;G. Redway;1883.,1883,1883,,,,"Sithron, the star-stricken",{'randomB'}
njp.32101063580532_1,njp.32101063580532,62735,randomB,"Howard, Mary M",,London;J. W. Parker;1850.,1850,1850,,,,Compton Merivale,{'randomB'}
njp.32101063580532_0,njp.32101063580532,62052,randomB,"Howard, Mary M",,London;J. W. Parker;1850.,1850,1850,,,,Compton Merivale,{'randomB'}
uc2.ark+=13960=t3319t73t_1,uc2.ark+=13960=t3319t73t,48001,random,"Howells, William Dean",,New York;London;Harper & brothers;1901.,1901,1901,,,,A pair of patient lovers,{'random'}
uc2.ark+=13960=t3319t73t_0,uc2.ark+=13960=t3319t73t,46442,random,"Howells, William Dean",,New York;London;Harper & brothers;1901.,1901,1901,,,,A pair of patient lovers,{'random'}
uc1.b2911955_0,uc1.b2911955,62397,randomB,"Hugo, Victor",,"Boston;Little, Brown and company;1887-88",1887,1887,v.7,,,[Works,{'randomB'}
uc1.b2911955_1,uc1.b2911955,66893,randomB,"Hugo, Victor",,"Boston;Little, Brown and company;1887-88",1887,1887,v.7,,,[Works,{'randomB'}
njp.32101063580607,njp.32101063580607,52872,randomB,"Humphrey, Zephine",,New York;Henry Holt and Company;1908.,1908,1908,,,,Over against Green Peak,{'randomB'}
uc2.ark+=13960=t8nc5th3p_1,uc2.ark+=13960=t8nc5th3p,32008,random,"James, Henry",,New York;Harper & brothers;1892.,1892,1879,,,,Daisy Miller & An international episode,{'random'}
uc2.ark+=13960=t8qb9vv8s_1,uc2.ark+=13960=t8qb9vv8s,45626,random,"James, Henry",,New York;The Macmillan Company;1896.,1896,1896,,,,The other house,{'random'}
uc2.ark+=13960=t8qb9vv8s_0,uc2.ark+=13960=t8qb9vv8s,45247,random,"James, Henry",,New York;The Macmillan Company;1896.,1896,1896,,,,The other house,{'random'}
uc2.ark+=13960=t8nc5th3p_0,uc2.ark+=13960=t8nc5th3p,29911,random,"James, Henry",,New York;Harper & brothers;1892.,1892,1879,,,,Daisy Miller & An international episode,{'random'}
mdp.39015066681597_0,mdp.39015066681597,60335,randomB,"James, Henry",,"Boston;New York;Houghton, Mifflin;1890.",1890,1890,v.1,,,The tragic muse,{'randomB'}
mdp.39015066681597_1,mdp.39015066681597,60179,randomB,"James, Henry",,"Boston;New York;Houghton, Mifflin;1890.",1890,1890,v.1,,,The tragic muse,{'randomB'}
uc1.b3324401_2,uc1.b3324401,63809,randomB,"Jefferies, Richard",,London;Tinsley;1875.,1875,1875,,,,Restless human hearts,{'randomB'}
uc1.b3324401_1,uc1.b3324401,63024,randomB,"Jefferies, Richard",,London;Tinsley;1875.,1875,1875,,,,Restless human hearts,{'randomB'}
uc1.b3324401_0,uc1.b3324401,58954,randomB,"Jefferies, Richard",,London;Tinsley;1875.,1875,1875,,,,Restless human hearts,{'randomB'}
mdp.39015012268150,mdp.39015012268150,7560,random,"Kennedy, Margaret",1896-1967.,London|W. Heinemann|1928.,1928,1928,,,Fiction,The game and the candle.,{'random'}
inu.30000048943728,inu.30000048943728,10018,randomB,"Kennedy, Margaret",1896-1967.,London|W. Heinemann Ltd.|1927.,1927,1927,,,Fiction,A long week-end / | $c: by Margaret Kennedy.,{'randomB'}
uva.x030832557_1,uva.x030832557,36923,detective,"Aldrich, Thomas Bailey",1836.0,Boston;Hou,1897,1880,v.6 1897,,,The stillwater tragedy,{'detective'}
uva.x030832557_0,uva.x030832557,40095,detective,"Aldrich, Thomas Bailey",1836.0,Boston;Hou,1897,1880,v.6 1897,,,The stillwater tragedy,{'detective'}
uc1.b249346,uc1.b249346,33127,detective,Anonymous1,,New York;J,1898,1898,,Detective ,,"Seth Bond, or, A lost tre",{'detective'}
uc1.$b382267_1,uc1.$b382267,46451,detective,Anonymous9,,London;Cas,1891,1891,,Detective ,,Eleven possible cases,{'detective'}
uc1.$b382267_0,uc1.$b382267,35521,detective,Anonymous9,,London;Cas,1891,1891,,Detective ,,Eleven possible cases,{'detective'}
mdp.39015074379739_1,mdp.39015074379739,29031,detective,"Baum, L. Frank",1856.0,Chicago;Re,1912,1912,,Mystery an,,Aunt Jane's nieces on vac,{'detective'}
mdp.39015074379739_0,mdp.39015074379739,31511,detective,"Baum, L. Frank",1856.0,Chicago;Re,1912,1912,,Mystery an,,Aunt Jane's nieces on vac,{'detective'}
uc1.b3728033,uc1.b3728033,30233,detective,"Biggers, Earl Derr",1884.0,Indianapol,1916,1916,,Police;Hon,,The agony column,{'detective'}
njp.32101066455278_1,njp.32101066455278,48647,detective,"Bodkin, M. McDonnell",1850.0,London;Unw,1908,1908,,,,The quests of Paul Beck,{'detective'}
njp.32101066455278_0,njp.32101066455278,46226,detective,"Bodkin, M. McDonnell",1850.0,London;Unw,1908,1908,,,,The quests of Paul Beck,{'detective'}
mdp.39015000613680_0,mdp.39015000613680,47255,detective,"Bramah, Ernest",1868.0,London;Met,1914,1914,,,,Max Carrados,{'detective'}
mdp.39015000613680_1,mdp.39015000613680,59442,detective,"Bramah, Ernest",1868.0,London;Met,1914,1914,,,,Max Carrados,{'detective'}
nyp.33433074807342_1,nyp.33433074807342,54631,detective,"Butler, Ellis Parker",1869.0,Boston;New,1918,1918,,,,Philo Gubb,{'detective'}
nyp.33433074807342_0,nyp.33433074807342,51937,detective,"Butler, Ellis Parker",1869.0,Boston;New,1918,1918,,,,Philo Gubb,{'detective'}
mdp.39015085433426,mdp.39015085433426,55660,detective,"Carson, James",,New York;C,1913,1913,,Horses;Cow,,The saddle boys of the Ro,{'detective'}
nyp.33433074941562_0,nyp.33433074941562,34206,detective,"Chambers, Robert W",1865.0,New York;D,1906,1906,,,,The tracer of lost person,{'detective'}
